  Freq. No. =   1,  f = 5.1077e+03 (Hz),  k = (0.1832D+01, 0.0000D+00):
 Solution on the Boundary:
Elements: this line is just for fun 
116 ( -2.930414e+06 , -7.740576e+05 ) 
117 ( -3.851262e+06 , 1.138342e+07 ) 
118 ( 4.601935e+06 , 1.470881e+07 ) 
119 ( 8.325067e+06 , 9.548022e+06 ) 
120 ( 1.737594e+06 , 8.702949e+06 ) 
121 ( -4.516455e+06 , 1.004772e+07 ) 
122 ( 1.071853e+06 , 4.442131e+06 ) 
123 ( 9.342938e+06 , -5.073170e+05 ) 
124 ( 4.179115e+06 , 1.221065e+07 ) 
125 ( -8.461950e+06 , 9.437587e+06 ) 
126 ( -4.621622e+06 , 6.157268e+06 ) 
127 ( 2.932993e+05 , -3.414104e+06 ) 
128 ( -2.227555e+06 , 3.208804e+06 ) 
129 ( -5.715547e+06 , 8.189839e+06 ) 
130 ( 8.577001e+05 , 1.086330e+06 ) 
131 ( 5.124314e+06 , 5.282287e+05 ) 
132 ( -2.765644e+06 , 6.671854e+06 ) 
133 ( -6.675215e+06 , -1.503388e+06 ) 
134 ( -3.047446e+06 , -4.687018e+06 ) 
135 ( 3.408541e+06 , -6.457896e+06 ) 
136 ( 1.016086e+06 , -2.709558e+06 ) 
137 ( -4.178770e+06 , 6.075716e+06 ) 
138 ( -4.477106e+06 , 1.458872e+06 ) 
139 ( -4.881881e+06 , -2.201921e+06 ) 
140 ( -3.779553e+06 , -2.695778e+06 ) 
141 ( 5.737952e+06 , 4.715899e+06 ) 
142 ( 3.201841e+06 , -3.311810e+06 ) 
143 ( -1.033840e+06 , -3.002292e+06 ) 
144 ( -9.219206e+05 , 1.332161e+06 ) 
145 ( 6.162627e+06 , 2.766520e+06 ) 
146 ( 3.281813e+06 , 1.212646e+06 ) 
147 ( 4.860822e+05 , -2.013473e+06 ) 
148 ( 7.358757e+05 , -5.975839e+06 ) 
149 ( 2.337685e+06 , 2.400808e+06 ) 
150 ( 6.617022e+05 , -2.152166e+06 ) 
151 ( -5.173365e+05 , 2.245144e+06 ) 
152 ( 3.323651e+06 , 1.712980e+06 ) 
153 ( 3.388634e+06 , -4.083555e+06 ) 
154 ( -9.437500e+04 , -1.201899e+06 ) 
155 ( -1.683115e+06 , 2.933850e+06 ) 
