  Freq. No. =   1,  f = 4.6499e+03 (Hz),  k = (0.1832D+01, 0.0000D+00):
 Solution on the Boundary:
Elements: this line is just for fun 
1 ( -6.306405e+06 , -1.294980e+07 ) 
2 ( -5.877546e+06 , 2.486297e+06 ) 
3 ( 2.751342e+06 , 1.923767e+06 ) 
4 ( 1.177692e+06 , 9.863416e+05 ) 
5 ( 2.219427e+06 , -2.304506e+06 ) 
6 ( -1.068133e+07 , -3.176287e+06 ) 
7 ( 3.483369e+05 , 1.299036e+07 ) 
8 ( -4.718831e+06 , -1.285599e+07 ) 
9 ( -6.933015e+06 , -7.055732e+06 ) 
10 ( 2.697253e+06 , -1.798197e+04 ) 
11 ( -6.822198e+06 , -3.533843e+06 ) 
12 ( -1.205990e+05 , 1.564001e+06 ) 
13 ( 3.964598e+06 , -8.856253e+06 ) 
14 ( -9.392829e+06 , 1.517245e+05 ) 
15 ( 3.804311e+06 , -1.017653e+07 ) 
16 ( -1.026419e+07 , 8.321093e+06 ) 
17 ( -9.831253e+05 , -2.945027e+06 ) 
18 ( -4.369655e+05 , 2.479994e+06 ) 
19 ( -2.948865e+06 , -3.753269e+06 ) 
20 ( -3.747445e+06 , 2.573162e+06 ) 
21 ( 1.806559e+07 , 6.844489e+06 ) 
22 ( 7.901539e+06 , 1.739274e+07 ) 
23 ( 2.191641e+07 , 9.863916e+05 ) 
24 ( 4.002800e+05 , 7.976448e+06 ) 
25 ( 1.047505e+07 , -9.387596e+04 ) 
26 ( 3.667420e+06 , 5.162179e+06 ) 
27 ( -8.275070e+05 , 5.260766e+06 ) 
28 ( 6.481251e+06 , -8.839896e+06 ) 
29 ( 1.021167e+07 , 1.328545e+07 ) 
30 ( 5.389824e+06 , 7.642358e+06 ) 
31 ( -2.690074e+06 , 7.984266e+05 ) 
32 ( 1.415386e+06 , 9.657824e+06 ) 
33 ( 1.797840e+07 , -8.519689e+06 ) 
34 ( 9.294747e+06 , -1.237501e+07 ) 
35 ( -1.427100e+06 , -1.437198e+07 ) 
36 ( 1.519395e+07 , -8.532923e+05 ) 
37 ( 6.385865e+06 , -2.451422e+06 ) 
38 ( 1.664643e+07 , 3.504813e+06 ) 
39 ( 1.510361e+07 , 3.468041e+06 ) 
40 ( -2.780545e+05 , 2.077677e+06 ) 
41 ( 7.107945e+06 , -2.400059e+06 ) 
42 ( 8.683739e+06 , -1.547308e+06 ) 
43 ( -5.256069e+06 , -1.261930e+06 ) 
44 ( 2.918390e+06 , -4.941644e+06 ) 
45 ( 9.480954e+06 , 6.635827e+06 ) 
46 ( 3.063595e+06 , 5.002392e+05 ) 
47 ( -4.743429e+06 , -6.960472e+06 ) 
48 ( 6.122548e+06 , -1.724164e+06 ) 
49 ( -2.789355e+06 , -3.005731e+06 ) 
50 ( -7.033826e+06 , 4.019877e+06 ) 
51 ( -3.223201e+06 , -5.453694e+06 ) 
52 ( -1.360130e+06 , -8.537102e+05 ) 
53 ( -2.213940e+06 , -3.221441e+05 ) 
54 ( -3.162156e+06 , -4.381412e+05 ) 
55 ( 3.595050e+06 , 2.016545e+06 ) 
56 ( -9.772546e+06 , -3.703524e+06 ) 
57 ( -3.388584e+06 , -8.184851e+06 ) 
58 ( -9.544755e+05 , -4.955066e+06 ) 
59 ( 3.406787e+06 , -6.147664e+06 ) 
60 ( -4.798664e+05 , -4.201658e+06 ) 
61 ( -2.562336e+06 , -2.690963e+06 ) 
62 ( -7.427603e+06 , -3.078941e+06 ) 
63 ( -8.289341e+06 , -1.992467e+06 ) 
64 ( -1.230338e+05 , 9.634554e+05 ) 
65 ( 1.347316e+07 , -1.012988e+06 ) 
66 ( 6.418453e+05 , -2.742822e+07 ) 
67 ( 3.767935e+05 , -9.114046e+06 ) 
68 ( -1.185661e+07 , -2.076565e+07 ) 
69 ( -2.507358e+06 , 7.560928e+06 ) 
