  Freq. No. =   1,  f = 8.3581e+03 (Hz),  k = (0.1832D+01, 0.0000D+00):
 Solution on the Boundary:
Elements: this line is just for fun 
1 ( -1.390080e+07 , -7.429569e+06 ) 
2 ( -6.382215e+06 , 7.133982e+06 ) 
3 ( -1.668549e+07 , -3.649896e+06 ) 
4 ( -8.479085e+06 , 5.075667e+06 ) 
5 ( -1.200196e+07 , -3.289742e+06 ) 
6 ( -8.115611e+05 , -5.304482e+06 ) 
7 ( 4.771678e+06 , 8.611868e+06 ) 
8 ( -6.653776e+06 , 1.258025e+05 ) 
9 ( 1.578882e+07 , 2.011894e+07 ) 
10 ( 9.529020e+06 , 6.707612e+06 ) 
11 ( 5.799458e+06 , 1.760993e+07 ) 
12 ( 1.660612e+07 , 1.445642e+07 ) 
13 ( 1.450535e+06 , -5.154880e+06 ) 
14 ( -7.868027e+06 , -1.769263e+06 ) 
15 ( 1.055151e+07 , -1.564259e+07 ) 
16 ( 1.775112e+06 , 3.703811e+06 ) 
17 ( 3.755840e+07 , 2.546998e+07 ) 
18 ( -1.894987e+07 , 2.218379e+07 ) 
19 ( 1.116931e+07 , 2.223410e+07 ) 
20 ( -7.775945e+06 , -4.034780e+06 ) 
21 ( 5.111627e+06 , -5.510751e+06 ) 
22 ( -6.159739e+06 , -1.114468e+07 ) 
23 ( -8.663015e+06 , -4.262511e+06 ) 
24 ( 9.572141e+06 , -1.490788e+07 ) 
25 ( 3.818321e+07 , -1.967981e+06 ) 
26 ( 1.793268e+07 , 3.312336e+07 ) 
27 ( 2.209971e+07 , -1.603974e+06 ) 
28 ( 2.350093e+07 , -1.921580e+06 ) 
29 ( -4.897809e+06 , -1.643726e+07 ) 
30 ( 9.048179e+06 , -2.653789e+07 ) 
31 ( -8.168778e+06 , -3.039829e+06 ) 
32 ( -4.738880e+06 , -8.678967e+06 ) 
33 ( -4.430071e+06 , 2.027535e+07 ) 
34 ( -1.564464e+07 , -3.905428e+06 ) 
35 ( 2.091166e+07 , 2.488243e+06 ) 
36 ( 1.247823e+07 , 5.871770e+06 ) 
37 ( 1.595098e+07 , 2.046944e+07 ) 
38 ( -2.426392e+07 , -1.397985e+07 ) 
39 ( -1.259265e+07 , -7.558833e+05 ) 
40 ( 2.377731e+06 , -1.956780e+07 ) 
41 ( 1.529286e+07 , 1.971841e+07 ) 
42 ( -2.114020e+07 , -8.957658e+06 ) 
43 ( 2.104483e+07 , 6.562245e+04 ) 
44 ( 5.195506e+06 , 1.876777e+07 ) 
45 ( 2.963426e+07 , -7.117109e+06 ) 
46 ( 2.276087e+07 , -4.652871e+06 ) 
47 ( -7.280595e+06 , -1.282589e+06 ) 
48 ( 5.559124e+05 , -2.628148e+07 ) 
49 ( -1.539729e+07 , -1.791401e+07 ) 
50 ( -1.176406e+07 , -1.152684e+07 ) 
51 ( 1.361571e+07 , 4.783002e+06 ) 
52 ( 1.308187e+06 , 3.752595e+06 ) 
53 ( 1.971254e+06 , 1.126345e+07 ) 
54 ( -2.103661e+07 , -1.213632e+07 ) 
55 ( -1.881152e+07 , 4.991604e+05 ) 
56 ( 2.426474e+06 , -1.979043e+07 ) 
57 ( -4.972691e+06 , 7.807252e+05 ) 
58 ( 1.305995e+06 , 5.196138e+06 ) 
59 ( -4.132618e+06 , -5.982462e+06 ) 
60 ( -7.944096e+06 , 4.323912e+06 ) 
61 ( -6.350792e+05 , -3.826929e+06 ) 
62 ( 1.989315e+07 , 1.673775e+06 ) 
63 ( -6.669504e+04 , -1.813332e+07 ) 
64 ( 3.793737e+06 , -1.128895e+07 ) 
65 ( 2.249396e+07 , -4.699571e+06 ) 
66 ( -2.607786e+07 , -9.076847e+06 ) 
67 ( -1.630507e+07 , -7.234667e+06 ) 
68 ( -2.554530e+06 , 2.349197e+07 ) 
69 ( -1.229930e+07 , 1.673916e+07 ) 
70 ( -7.703872e+06 , -3.790120e+06 ) 
71 ( 3.493467e+05 , -8.730278e+06 ) 
72 ( 3.112575e+06 , 2.731139e+04 ) 
73 ( -4.426965e+06 , 5.960852e+05 ) 
74 ( 2.203144e+06 , -8.396454e+06 ) 
75 ( 7.306182e+06 , -1.151225e+06 ) 
76 ( -1.126365e+07 , -2.706105e+06 ) 
77 ( -1.202499e+07 , -1.168726e+06 ) 
78 ( -1.819654e+07 , -2.001006e+06 ) 
