  Freq. No. =   1,  f = 4.8882e+03 (Hz),  k = (0.1832D+01, 0.0000D+00):
 Solution on the Boundary:
Elements: this line is just for fun 
1 ( -8.661595e+06 , -7.964509e+06 ) 
2 ( -5.846536e+06 , -1.072884e+07 ) 
3 ( -5.909214e+06 , -1.569185e+07 ) 
4 ( -1.110332e+06 , -1.478467e+07 ) 
5 ( -4.619274e+06 , -1.291728e+07 ) 
6 ( -6.640572e+06 , -1.406034e+07 ) 
7 ( -1.534384e+06 , -1.169778e+07 ) 
8 ( -7.257956e+06 , -1.238723e+07 ) 
9 ( -8.775183e+06 , -6.874164e+06 ) 
10 ( -6.331485e+06 , -1.527476e+07 ) 
11 ( -5.382960e+06 , -4.562375e+06 ) 
12 ( -1.506798e+06 , -1.838989e+07 ) 
13 ( -1.026295e+07 , -1.407083e+07 ) 
14 ( -5.277976e+06 , -1.698789e+07 ) 
15 ( -1.058783e+07 , -1.309123e+07 ) 
16 ( -4.384096e+05 , -1.840187e+07 ) 
17 ( -1.051540e+07 , -6.678492e+06 ) 
18 ( -5.251288e+06 , -1.586314e+07 ) 
19 ( -7.954396e+06 , -7.269918e+06 ) 
20 ( 1.514775e+04 , -1.797096e+07 ) 
21 ( -9.276254e+06 , -6.883178e+06 ) 
22 ( -4.947673e+06 , -1.807318e+07 ) 
23 ( -9.487673e+06 , -8.680310e+06 ) 
24 ( 2.294135e+06 , -1.986016e+07 ) 
25 ( -7.210635e+06 , -1.022770e+07 ) 
26 ( -7.614260e+06 , -1.552277e+07 ) 
27 ( -6.031862e+06 , -1.260754e+07 ) 
28 ( -1.038137e+07 , -6.395471e+06 ) 
29 ( -8.285916e+06 , -1.715602e+07 ) 
30 ( -5.113465e+06 , -1.332706e+07 ) 
31 ( -1.129401e+07 , -5.106079e+06 ) 
32 ( -1.292333e+07 , -6.825587e+06 ) 
33 ( -1.381945e+07 , -8.662491e+06 ) 
34 ( -1.289103e+07 , -9.096324e+06 ) 
35 ( -1.067438e+07 , -5.374939e+06 ) 
36 ( -8.385957e+06 , -1.718743e+07 ) 
37 ( -4.762797e+06 , -1.412525e+07 ) 
38 ( -5.273104e+06 , -1.774703e+07 ) 
39 ( -1.053677e+07 , -1.606283e+07 ) 
40 ( -9.776842e+06 , -7.071014e+06 ) 
41 ( -8.788837e+06 , -1.578856e+07 ) 
42 ( -5.165837e+06 , -1.781706e+07 ) 
43 ( -9.454738e+06 , -8.994898e+06 ) 
44 ( -5.868274e+06 , -1.098479e+07 ) 
45 ( -8.499217e+06 , -1.397753e+07 ) 
46 ( 1.380465e+06 , -1.679815e+07 ) 
47 ( -1.038464e+07 , -6.323250e+06 ) 
48 ( 1.426409e+06 , -2.056374e+07 ) 
49 ( -1.425239e+07 , -9.990650e+06 ) 
50 ( -1.176644e+07 , -9.426564e+06 ) 
51 ( -1.136271e+07 , -1.294343e+07 ) 
52 ( -4.605826e+06 , -1.690284e+07 ) 
53 ( 2.204436e+06 , -1.763317e+07 ) 
54 ( -8.854290e+06 , -1.524766e+07 ) 
55 ( -6.146267e+06 , -6.020879e+06 ) 
56 ( -1.097523e+07 , -1.069129e+07 ) 
57 ( -5.412680e+06 , -1.862891e+07 ) 
58 ( -7.974887e+06 , -1.713913e+07 ) 
59 ( -8.117555e+06 , -7.331007e+06 ) 
60 ( 3.389671e+05 , -1.920513e+07 ) 
61 ( -8.599571e+06 , -1.334636e+07 ) 
62 ( -1.178831e+07 , -6.227564e+06 ) 
